chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
HCER	0.439748166077125	0.518846127191406	0.184996302417078	0.568611189991525
PE	0.894774466964628	0.783424503129585	0.213005586878728	0.593325949274249
PC	0.774656550697751	0.658036964265543	0.336944294134604	0.485265548629442
DCER	0.224330744719604	0.264227269812955	0.293938461892562	0.425209860555543
DAG	0.919113501256035	0.912886103916255	0.223320320289844	0.522917931505146
LCER	0.773029386156255	0.799735426151853	0.25073011775427	0.54518514845664
PI	0.371433051117061	0.535275860602385	0.345722154261979	0.533234212536423
SM	0.970818334910782	0.776585460189062	0.30575914130294	0.501905834114012
CER	0.460233577372929	0.0687989331201422	0.347641982994796	0.293178049968981
CE	0.64354072741675	0.9102849789348	0.254737808675341	0.522221553405561
LPC	0.0721535553940904	0.0168394323810876	0.136663554785535	0.492258800111674
LPE	0.565860200776841	0.225104849416126	0.173339982138491	0.481557774199794
MAG	0.244379465973099	0.0487359960083637	0.21234436361597	0.654748837302287
TAG	0.86659542479852	0.740981498183541	0.228969957875547	0.542397484369399
FFA	0.438583069886878	0.614403550363215	0.246076692352574	0.511412627268333
