chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
HCER	0.454468254096725	0.468321215397763	0.225627048489216	0.740071850900081
PE	0.844849881444208	0.69716963935399	0.246076590996886	0.760870578960418
PC	0.689078858076466	0.807282961276318	0.360937227491628	0.646499525007804
DCER	0.267439639787934	0.429385141209318	0.329509030096881	0.584274664148261
DAG	0.996344258664122	0.990555480023898	0.274743272273436	0.67238125278994
LCER	0.750816606458405	0.817822422521095	0.298837757640092	0.682184040871441
PI	0.440388684929443	0.605833282922166	0.393747562768627	0.679563364620807
SM	0.912994985442315	0.96946659494287	0.316012099083168	0.672202766831125
CER	0.473483805472332	0.110602548563182	0.397413167013245	0.41669848288186
CE	0.544825575673947	0.90389266315301	0.278361973031153	0.680115012217847
LPC	0.0521236050372132	0.012849009091214	0.155181773188734	0.573761610913069
LPE	0.531857801556999	0.255179414464203	0.215868197621023	0.611911791228658
MAG	0.195388855048865	0.0250335679649596	0.257934735707949	0.827577905904577
TAG	0.783783511772859	0.655289618465433	0.279306157195739	0.684531430161469
FFA	0.500480866969356	0.788330449029678	0.289689791690118	0.662281419954245
