	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
dummyID	0.0	1.0	1.0	2.0	2.0	4.0	4.0	6.0	6.0	7.0	8.0	8.0	9.0	9.0	11.0	11.0	14.0	14.0	15.0	16.0	16.0	17.0	17.0	18.0	18.0	20.0	21.0	26.0	26.0	27.0	27.0	30.0	30.0	32.0	32.0	34.0	34.0	35.0	35.0	36.0	38.0	40.0	41.0	41.0	42.0	49.0	49.0	51.0	51.0	52.0	52.0	56.0	56.0	58.0	61.0	61.0	62.0	62.0	63.0
sex	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
age	75.0	70.0	71.0	69.0	69.0	64.0	64.0	78.0	79.0	62.0	67.0	68.0	64.0	65.0	66.0	67.0	73.0	74.0	64.0	67.0	69.0	39.0	39.0	76.0	77.0	68.0	67.0	71.0	72.0	62.0	63.0	70.0	70.0	67.0	68.0	40.0	40.0	61.0	62.0	65.0	75.0	68.0	64.0	65.0	67.0	80.0	81.0	61.0	61.0	61.0	62.0	42.0	43.0	62.0	59.0	60.0	62.0	62.0	52.0
DAS28	1.63195	2.58632	1.49195	1.78595	2.03795	1.70967	2.23112	2.07995	1.60395	2.3646	2.03498	2.02237	1.61795	1.57595	1.56195	1.47795	1.98407	2.34396	2.48581	1.51995	1.50595	1.56195	2.31795	2.51825	2.44603	2.30538	2.17795	1.77195	2.06595	2.04747	2.24335	1.44995	1.47795	2.3806	1.60057	1.84195	1.81395	1.56195	1.63195	2.35995	1.57595	1.44995	1.71595	1.58995	1.89795	2.33385	1.56195	1.47795	1.77195	1.95338	2.0925	1.5010700000000001	1.2070299999999998	2.12837	2.58067	1.56195	1.67395	2.4544799999999998	2.1291
TAG52:0FA20:0	0.4495	1.3142	0.3805	0.2628	0.1962	0.3111	0.1687	0.117	0.2609	0.4093	0.1641	0.0951	0.1815	0.1177	0.4665	0.3073	0.3051	0.3741	0.5046	0.1142	0.1532	0.6726	0.8796	0.5644	0.2009	0.3272	0.285	0.6709999999999999	1.499	0.3021	0.2834	0.4948	0.254	0.6604	0.3413	0.1419	0.1545	0.1974	0.2002	0.1608	1.6039	0.3687	0.2701	0.1241	0.3016	0.1957	0.355	0.2676	0.1679	0.1687	0.1838	0.1743	0.0751	0.9679	0.4609	1.111	0.7247	0.192	0.3218
TAG58:6FA22:5	0.2463	0.7673	1.1297	0.1215	0.145	0.2089	0.2852	0.1532	0.2946	0.171	0.16899999999999998	0.2109	0.2372	0.3169	0.7296	0.7975	0.297	0.2248	0.8122	0.0787	0.0942	0.4541	0.3125	0.1896	0.2124	0.35	0.4415	0.2534	0.5479	0.3304	0.3389	0.234	0.1641	0.7334	0.6619	0.0668	0.083	0.1533	0.1944	0.1368	0.5218	0.5920000000000001	0.332	0.1592	0.465	0.3747	0.3601	0.2921	0.1887	0.2386	0.2444	0.2217	0.1549	1.1435	0.6439	0.341	0.2486	0.2112	0.2224
TAG50:1FA20:1	0.1929	0.5878	0.116	0.1896	0.1622	0.1273	0.0532	0.0308	0.1275	0.2089	0.0661	0.0369	0.0798	0.0431	0.2232	0.0689	0.1064	0.1489	0.5322	0.0323	0.0885	0.314	0.2258	0.5012	0.1448	0.1037	0.1696	0.3532	0.8512	0.1725	0.1329	0.3512	0.1851	0.4484	0.1168	0.0541	0.0631	0.0552	0.0487	0.0445	0.5189	0.3211	0.0486	0.02	0.1845	0.0853	0.1222	0.0758	0.0611	0.0905	0.1259	0.0726	0.0219	0.4177	0.1961	0.3987	0.4456	0.0722	0.0944
TAG54:6FA20:3	0.6365	1.2183	1.0519	0.6556	0.6587	0.339	0.4435	0.2118	0.393	0.3141	0.4064	0.2844	0.7259	0.7957	0.9133	0.6768	0.434	0.3833	0.5515	0.2205	0.401	0.7232	0.5709	0.6442	0.9787	0.7485	0.8842	0.7032	1.1183	0.6483	0.7526	0.5173	0.4093	0.2958	0.1573	0.329	0.3884	0.1579	0.2076	0.4041	1.3268	1.4258	0.1965	0.2411	0.7023	0.5745	0.6388	0.4556	0.5026	0.5868	0.6252	0.4047	0.324	1.0015	0.8104	0.8673	0.5123	0.2602	0.3462
CE(24:0)	0.1647	0.2835	0.1993	0.13699999999999998	0.2676	0.2423	0.3813	0.2146	0.287	0.2232	0.1872	0.2229	0.1685	0.2061	0.6337	0.4717	0.2242	0.209	0.2939	0.1347	0.1941	0.2676	0.2815	0.2394	0.23	0.3303	0.2442	0.2151	0.266	0.2496	0.3682	0.2999	0.3478	0.2746	0.2988	0.2399	0.1821	0.4281	0.3453	0.1946	0.2791	0.2137	0.4014	0.2959	0.2564	0.1666	0.1568	0.194	0.2255	0.2272	0.2872	0.2414	0.1624	0.2282	0.2567	0.2573	0.2427	0.2622	0.2477
LCER(22:0)	0.1232	0.2925	0.1605	0.1735	0.2177	0.2703	0.3476	0.1248	0.1498	0.2631	0.1138	0.0915	0.1824	0.1937	0.2446	0.2104	0.2529	0.4631	0.1296	0.3135	0.2716	0.2015	0.3247	0.2092	0.2298	0.2146	0.2446	0.2352	0.2646	0.16699999999999998	0.1608	0.3314	0.3704	0.2067	0.2085	0.2274	0.2222	0.2941	0.3091	0.2874	0.2255	0.1744	0.3138	0.4362	0.2166	0.1927	0.1475	0.2343	0.2101	0.2271	0.2514	0.2497	0.2597	0.218	0.1879	0.2081	0.2614	0.308	0.3166
