	ST-00010415_t1	ST-00010415_t2	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044073_t1	ST-00044073_t2	ST-00044885_t1	ST-00044885_t2	ST-00045433_t1	ST-00045433_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00057532_t2	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00075023_t1	ST-00075023_t2	ST-00128432_t1	ST-00128432_t2	ST-00177454_t1	ST-00177454_t2	ST-00242187_t1	ST-00242187_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t1	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00320227_t1	ST-00320227_t2	ST-00339988_t1	ST-00339988_t2	ST-00360236_t1	ST-00360236_t2	ST-00418342_t1	ST-00418342_t2	ST-00423444_t1	ST-00423444_t2	ST-00466055_t1	ST-00466055_t2	ST-00505289_t1	ST-00505289_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00550067_t1	ST-00550067_t2	ST-00596988_t1	ST-00596988_t2	ST-00597582_t1	ST-00597582_t2	ST-00606222_t1	ST-00606222_t2	ST-00611296_t1	ST-00611296_t2	ST-00616972_t1	ST-00616972_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00630737_t2	ST-00631493_t1	ST-00631493_t2	ST-00632345_t1	ST-00632345_t2	ST-00634998_t1	ST-00634998_t2	ST-00641613_t1	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t1	ST-00651926_t2	ST-00652037_t1	ST-00652037_t2	ST-00653378_t1	ST-00653378_t2	ST-00656708_t1	ST-00656708_t2	ST-00659767_t1	ST-00659767_t2	ST-00660767_t1	ST-00660767_t2	ST-00685031_t1	ST-00685031_t2	ST-00705243_t1	ST-00705243_t2	ST-00705245_t1	ST-00705245_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00711931_t1	ST-00711931_t2	ST-00714687_t1	ST-00714687_t2	ST-00718962_t1	ST-00718962_t2	ST-00723045_t1	ST-00723045_t2	ST-00730777_t1	ST-00730777_t2	ST-00731125_t1	ST-00731125_t2	ST-00731336_t1	ST-00731336_t2	ST-00731705_t1	ST-00731705_t2	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t1	ST-00745902_t2
DAS28	r	l	r	r	r	r	l	m	r	r	m	m	r	r	r	m	r	r	r	r	m	m	r	r	m	l	h	m	r	r	l	r	r	r	r	r	r	r	m	m	m	r	m	r	m	l	h	h	m	h	l	l	r	r	r	r	l	h	m	m	r	r	l	m	r	r	l	m	r	r	r	r	r	m	m	m	h	r	l	m	l	r	r	r	m	r	m	m	m	m	m	m	m	m	m	l	m	l	r	r	h	h	r	r	r	r	l	h	m	m	m	m	r	r	m	m	r	m	h	h	l	m	r	r	r	r	l	r
100000257	1.5674	1.8382	0.8284	0.7866	1.1446	0.9489	1.3206	1.9863	1.0318	0.8404	0.9790000000000001	0.9148	0.9563	0.7273	1.2137	1.7009	1.0817	1.4051	0.9944	1.3295	0.7182	0.7203	0.64	0.6648	1.4278	1.2107	0.9831	3.7389	1.0542	1.0056	0.6909	0.769	1.1026	1.196	0.726	0.7409	1.5816	1.4161	0.9158	0.8349	2.4329	2.4419	0.8074	0.9235	1.2537	1.2244	2.8022	2.5481	1.1809	1.6955	1.5779	0.8286	1.3478	1.3566	0.5634	0.6075	3.3789999999999996	2.5682	0.8179	0.6907	0.9274	1.0322	0.7363	0.625	1.0221	1.2119	1.4668	1.5792	0.9272	1.2374	0.703	0.55	1.1624	1.1697	1.4794	1.1997	1.4288	0.7038	0.5266	0.5629	0.9305	0.8393	0.9446	1.2642	0.6457	0.8011	1.0169	1.0469	0.9682	0.8425	0.8726	0.9134	1.6121	1.5601	1.6976	1.7758	1.6626	1.5785	0.8179	0.8159	1.3695	0.701	0.9709	0.9252	0.6474	0.6092	0.648	1.0526	0.929	0.7985	6.1281	3.8848	0.6014	0.7235	1.5981	0.5245	0.5419	0.5822	1.9211	0.5332	0.7314	0.5741	1.4752	1.38	1.2404	1.2148	0.8474	1.1452
1114	1.1205	1.0876	0.965	0.8319	0.3046	0.36	3.1501	2.4262	0.6436	0.8005	0.5702	0.8807	1.5475	1.047	0.7665	1.3156	1.8722	0.8432	0.9032	0.5565	1.0144	0.6685	2.9881	3.0755	0.9349	0.9922	0.48200000000000004	0.7862	1.2695	1.2472	1.2633	1.4001	1.9367	1.9268	0.978	0.9039	0.5979	1.4612	0.9657	0.8646	1.5514	1.7268	0.6811	0.9895	0.5256	0.3682	1.0188	1.6732	1.1482	0.36	0.8103	0.6993	1.7735	1.4207	1.4124	2.3722	0.8923	0.5649	0.7984	1.146	2.2815	2.2569	0.6952	0.6576	0.8682	0.8469	0.8136	0.9024	1.0988	1.2958	1.0607	1.0879	0.4567	0.5773	0.3112	0.1666	1.1813	0.8083	0.9388	1.1027	5.2544	0.555	1.9379	1.7138	1.2017	1.5655	2.2237	1.7438	0.7715	0.7238	1.1682	1.0105	0.3275	0.2785	0.644	0.9312	7.475	0.8288	1.3033	1.5394	0.7609	0.677	2.0294	1.2954	0.6991	0.6413	1.4925	1.7326	1.636	1.9325	0.8917	0.7978	0.8458	1.014	0.7894	0.4418	0.8883	0.8197	0.4134	0.6548	1.3289	1.6589	2.0956	1.1818	1.5677	2.0192	0.7199	0.5848
100001987	3.5054	4.6969	0.8481	1.2303	0.0204	0.0204	2.0715	1.8473	0.5944	0.6297	3.6663	2.1376	0.1899	0.1894	0.8616	0.6071	3.6956	1.4069999999999998	7.9712	2.6956	0.461	0.4088	1.4173	1.0815	2.9211	2.2678	1.2218	1.0603	0.4631	0.4772	0.0387	0.0204	0.268	0.3007	0.9744	0.7858	0.0654	0.1228	8.1843	10.0227	4.0628	4.2463	0.0437	0.06	0.1298	0.0782	0.0888	0.0204	1.0	0.1566	8.5838	4.9536	11.588	10.3386	4.7145	5.6585	1.2465	1.1259	2.0463	1.5546	0.1446	0.2949	3.216	3.7757	9.6763	8.9229	2.2515	2.1748	0.8724	1.101	6.6943	6.0587	0.7328	0.7483	0.0204	0.0788	0.1559	0.1795	1.9531	1.8364	0.0204	0.0204	0.0679	0.188	0.1891	0.1076	3.0798	4.5012	0.3016	0.3667	0.6772	0.5803	0.0945	0.2802	0.0204	0.0204	0.0204	0.0204	6.6175	6.8091	1.5136	1.9596	2.779	1.1999	0.598	0.7205	1.3176	0.7594	1.8949	2.1626	0.0224	0.0204	1.025	0.8683	0.6609999999999999	1.6896	8.0784	3.8692	2.2483	2.1523	0.3547	0.4801	0.0204	0.0204	3.3717	4.0652	6.416	6.3534
100006438	6.8041	2.3653	0.2249	0.2257	1.0083	1.0188	0.5762	0.5668	12.6148	0.368	0.0622	0.0532	3.5873	7.1683	9.0063	1.8833	0.1257	0.1695	3.0803	3.0333	0.4438	0.1508	0.5907	0.273	13.3719	1.3674	0.7797	0.1582	0.1488	0.1468	1.6051	0.4475	3.4481	4.8969	4.3205	2.7138	0.7688	0.2337	2.2224	11.1695	0.213	0.5783	1.4668	1.0128	1.1287	3.8404	4.5792	1.9516	5.9244	0.5998	0.8159	0.6318	2.8519	3.9869	0.0839	0.2517	0.9039	1.4296	0.4287	1.8097	2.0586	2.4144	2.6784	0.0854	0.0904	0.1108	3.7192	3.0412	0.1518	0.115	1.0	0.371	1.7995	2.489	3.2598	0.612	0.2152	0.0661	0.0742	0.0737	1.1637	0.0657	3.06	4.7468	0.9373	2.9257	0.1668	0.3642	0.1337	0.2068	3.888	9.3478	0.3295	0.3902	1.6501	2.4099	0.1284	0.0557	0.8022	0.1774	0.0974	0.3775	8.0638	4.7860000000000005	0.1531	0.1457	0.4684	0.1937	2.359	1.5486	0.3262	0.6326	1.3133	2.6708	0.0731	0.0532	6.1801	2.6919	0.1488	0.1681	8.0788	0.3837	2.2611	1.8733	2.3144	2.5334	2.8068	2.1208
100004208	4.0486	2.2747	0.5716	0.7817	1.0082	1.3832	1.1651	1.9647	1.5567	0.2222	0.9857	0.1766	1.1713	1.89	2.3742	4.1532	1.4880000000000002	1.2628	1.9788	2.2692	0.3515	0.2512	2.3027	2.5552	3.0017	0.8683	0.6535	0.3839	0.2668	0.9993	1.2357	1.0007	2.4236	3.0193	1.9453	1.6926	1.6769	0.6712	1.551	1.5564	0.3047	0.2309	0.8375	0.6456	0.6962	1.0304	2.2765	1.1388	2.2614	0.8833	1.0303	1.1758	7.0478	8.7869	0.5345	0.3521	0.9918	1.1315	0.5796	1.7118	1.1179999999999999	1.3237	0.6603	0.4065	0.6298	0.8921	4.6531	2.5986	0.7012	0.7674	0.547	0.2034	0.8676	0.7512	1.6629	1.7206	0.6462	0.3454	0.08199999999999999	0.1769	1.2381	0.6077	1.1843	1.4287	0.5405	1.609	0.3358	0.3139	0.1465	0.1454	2.3898	2.1089	0.9279999999999999	0.639	1.1926	2.9538	0.2155	0.2126	0.5132	0.4088	0.2121	0.2888	3.0825	1.6001	0.6969	1.3833	1.4247	1.5411	1.6271	1.0485	0.8997	1.3879	0.6131	0.5752	0.4189	0.0291	0.7015	0.5996	0.429	0.3599	1.0151	0.2941	0.7794	0.9943	5.5565	0.9935	0.5233	1.4461
100020536	12.4532	3.1471	1.1658	0.2068	0.8563	3.1486	0.5543	0.4368	4.1129	0.1303	0.0198	0.0418	0.8271	2.1187	3.593	6.5264	0.2199	0.2706	4.5045	7.202999999999999	0.6329	0.2584	1.8737	4.0329	4.7729	0.612	0.8812	0.5188	0.9031	0.7054	3.2546	2.526	6.7498	6.0887	1.8833	3.4688	0.8694	0.2738	1.7853	3.1056	0.14800000000000002	0.3885	1.203	0.5534	1.2418	4.0753	3.5727	2.8248	3.2008	0.6181	1.2112	1.3898	5.975	7.6732	0.7943	0.086	1.8814	1.4988	0.5948	2.8477	2.1594	1.9477	0.9636	0.5774	0.0663	0.1831	3.5898	6.6721	0.7378	0.5712	0.6474	0.1331	3.8003	2.8019	2.6577	0.5908	0.33	0.282	0.0575	0.0198	1.2295	0.0772	1.5258	2.8823	1.7843	4.5524	0.2018	0.2471	0.0745	0.1132	3.0608	4.2112	0.2969	0.1148	1.3035	3.681	0.1323	0.0458	0.5016	0.1608	0.2293	0.207	4.1429	1.5548	0.2674	0.7487	0.5558	0.6029	4.6273	1.4711	0.3307	1.2258	1.3204	1.3606	0.0384	0.0198	2.1578	0.8759999999999999	0.2115	0.3481	2.1296	0.2372	0.5259	1.1717	1.9393	1.0364	0.812	2.6002
250	3.2084	3.7071	1.1423	2.3317	0.4168	0.6501	1.0479	1.4006	0.5766	1.4673	0.7587	1.0083	0.5308	1.3006	0.5097	0.7875	1.7486	2.2834	1.7504	1.3305	1.2947	0.6762	0.7469	1.7793	0.6814	1.9932	0.6956	0.8476	0.8649	0.84	1.7276	0.9598	1.0856	0.7724	1.0338	1.5402	1.9368	1.5503	1.375	1.6993	1.1669	1.3678	1.4249	1.702	0.7705	0.5035	0.4052	0.8168	2.1342	1.5021	1.2393	0.8734	0.7796	0.4382	1.5941	2.3464	0.9876	0.7847	0.6472	0.5527	1.3578	1.4685	0.7427	0.9152	1.5246	3.6441	1.3209	1.0027	2.1789	0.5864	1.6230000000000002	1.9337	1.7249	1.2071	0.5218	0.7243	0.8278	1.3307	0.8422	0.8815	2.8507	2.2302	1.2517	0.5034	0.5341	0.6072	0.9537	2.0192	0.9895	0.8904	0.7629	0.8498	0.7091	1.0132	1.287	0.6962	0.7204	0.8357	0.6411	0.9914	1.0869	1.0235	1.3433	1.0875	1.6986	1.8465	0.7413	0.8348	1.0865	1.3922	0.2692	0.4831	0.6773	1.3615	0.8443	0.9917	0.3804	1.0194	0.5042	0.6023	0.6544	1.1312	1.6025	1.1615	1.2812	2.4171	0.8036	0.6509999999999999
100020253	2.3622	3.115	1.157	1.1972	3.3652	1.2695	2.6812	2.7624	1.4181	1.0775	1.9241	1.1918	2.5784	0.5534	1.4945	0.7841	1.1268	2.8992	1.8785	1.6788	0.945	0.7095	0.4411	1.2	0.8656	0.7728	1.4505	0.9802	1.2176	1.3053	0.6946	0.7879999999999999	0.5514	0.8665	0.6753	0.4732	2.4682	3.1694	0.4994	0.9749	1.4464	0.6666	1.013	1.5946	2.0597	1.3783	1.9941	1.3018	1.1928	0.4926	1.0792	0.4715	0.6892	0.7067	0.1951	0.1951	1.6719	0.1951	0.9831	1.1103	0.456	0.5912	1.5959	1.6691	0.8874	1.6546	0.6055	0.9377	2.4638	2.5621	1.4417	0.7829	0.7824	0.4636	0.8921	1.4711	1.2687	1.1207	0.7458	0.7144	0.7542	1.031	0.1951	0.9086	1.0826	1.2014	0.8503	0.6763	0.4545	0.5084	0.6919	0.5356	0.5333	0.3544	0.3732	0.8223	1.18	0.9392	1.7235	1.5145	0.1951	0.2827	1.9842	3.2505	2.3873	2.3112	1.088	4.1362	0.8725	0.5726	2.1971	3.0484	0.7203	0.1951	0.645	1.2919999999999998	0.469	0.7181	1.0996	0.3924	0.6298	0.9755	1.0215	0.1951	0.3138	1.084	0.7386	0.4396
100001950	1.4351	1.9894	1.1192	1.3717	0.6866	1.0048	0.9098	1.0893	0.5406	1.0948	0.9034	1.1249	0.4979	1.0123	0.6589	1.0445	1.8817	2.0980000000000003	1.7895	1.3114	1.2293	0.7629	0.7419	1.0175	0.831	1.7701	0.6297	0.8038	0.7809	0.9672	0.9444	0.8746	1.2726	0.9006	1.1296	1.3723	2.3434	1.8297	1.9309	1.4681	0.992	0.9464	1.7221	1.9526	1.0523	0.7055	0.4807	0.805	1.6937	1.0017	1.0447	0.6377	1.0615	0.5815	1.4767	2.0769	1.3737	0.7581	0.7557	0.6546	2.3782	2.2245	0.8832	1.1147	0.7739	1.3626	1.0552	1.1095	0.2306	0.6526	1.5142	1.3854	1.7557	1.2094	0.8766	0.7481	0.9104	1.6038	1.0158	0.9865	3.5326	2.4244	1.1523	0.5711	0.5531	0.7225	0.7447	1.1049	0.9005	0.4687	0.8675	0.5046	0.6273	0.6356	1.3361	0.9328	0.8641	1.0702	0.6695	0.9511	1.074	1.002	1.361	1.1676	1.7434	2.5956	0.8949	0.9545	0.8227	0.8966	0.3398	0.3933	0.9952	1.7692	0.9983	1.1358	0.33799999999999997	1.1697	0.5412	0.3856	0.3946	0.8591	1.1368	1.2237	1.0521	2.4642	0.6533	0.5957
