	ST-00010415_t1	ST-00010415_t2	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044073_t1	ST-00044073_t2	ST-00044885_t1	ST-00044885_t2	ST-00045433_t1	ST-00045433_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00057532_t2	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00075023_t1	ST-00075023_t2	ST-00128432_t1	ST-00128432_t2	ST-00177454_t1	ST-00177454_t2	ST-00242187_t1	ST-00242187_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t1	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00320227_t1	ST-00320227_t2	ST-00339988_t1	ST-00339988_t2	ST-00360236_t1	ST-00360236_t2	ST-00418342_t1	ST-00418342_t2	ST-00423444_t1	ST-00423444_t2	ST-00466055_t1	ST-00466055_t2	ST-00505289_t1	ST-00505289_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00550067_t1	ST-00550067_t2	ST-00596988_t1	ST-00596988_t2	ST-00597582_t1	ST-00597582_t2	ST-00606222_t1	ST-00606222_t2	ST-00611296_t1	ST-00611296_t2	ST-00616972_t1	ST-00616972_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00630737_t2	ST-00631493_t1	ST-00631493_t2	ST-00632345_t1	ST-00632345_t2	ST-00634998_t1	ST-00634998_t2	ST-00641613_t1	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t1	ST-00651926_t2	ST-00652037_t1	ST-00652037_t2	ST-00653378_t1	ST-00653378_t2	ST-00656708_t1	ST-00656708_t2	ST-00659767_t1	ST-00659767_t2	ST-00660767_t1	ST-00660767_t2	ST-00685031_t1	ST-00685031_t2	ST-00705243_t1	ST-00705243_t2	ST-00705245_t1	ST-00705245_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00711931_t1	ST-00711931_t2	ST-00714687_t1	ST-00714687_t2	ST-00718962_t1	ST-00718962_t2	ST-00723045_t1	ST-00723045_t2	ST-00730777_t1	ST-00730777_t2	ST-00731125_t1	ST-00731125_t2	ST-00731336_t1	ST-00731336_t2	ST-00731705_t1	ST-00731705_t2	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t1	ST-00745902_t2
DAS28	l	l	l	l	l	l	l	m	l	l	m	m	l	l	l	m	l	l	l	l	m	m	l	l	m	l	h	m	l	l	l	l	l	l	l	l	l	l	m	m	m	l	m	l	m	l	h	h	m	h	l	l	l	l	l	l	l	h	m	m	l	l	l	m	l	l	l	m	l	l	l	l	l	m	m	m	h	l	l	m	l	l	l	l	m	l	m	m	m	m	m	m	m	m	m	l	m	l	l	l	h	h	l	l	l	l	l	h	m	m	m	m	l	l	m	m	l	m	h	h	l	m	l	l	l	l	l	l
TAG52:0FA20:0	0.4495	0.3196	1.3142	0.3805	0.2628	0.1962	0.2835	0.18	0.3111	0.1687	0.3959	0.6933	0.11699999999999999	0.2609	0.4093	0.3414	0.1641	0.0951	0.1815	0.1177	0.3099	0.3408	0.4665	0.3073	0.1805	0.0953	0.3607	0.2058	0.3051	0.3741	0.3996	0.5046	0.1142	0.1532	0.6726	0.8796	0.5644	0.2009	0.9903	1.2152	0.2388	0.3272	0.5323	0.285	0.1243	0.2703	0.6269	0.2752	0.3882	0.5924	0.2589	0.5263	0.6709999999999999	1.499	0.3021	0.2834	0.2073	0.7951	0.4168	0.3514	0.4948	0.254	0.0663	0.0968	0.6604	0.3413	0.8073	1.4515	0.1419	0.1545	0.1974	0.2002	0.1608	0.4867	0.2928	0.1468	2.1403	1.6039	0.2827	0.1659	0.3294	0.3687	0.2701	0.1241	0.3952	0.3016	0.1651	1.0778	0.3878	0.9996	0.3402	0.2968	0.4084	0.5611	0.4139	0.3939	0.2463	0.1221	0.1957	0.355	0.1864	0.239	0.2676	0.1679	0.1687	0.1838	0.2869	0.0801	0.8315	0.2065	0.501	0.3108	0.1743	0.0751	0.1266	0.11599999999999999	0.9679	0.5054	0.2987	0.3488	0.4312	0.1428	0.4609	1.111	0.7247	0.192	0.1322	0.3218
TAG58:6FA22:5	0.2463	0.345	0.7673	1.1297	0.1215	0.145	0.3367	0.2488	0.2089	0.2852	0.3395	0.5293	0.1532	0.2946	0.171	0.3597	0.16899999999999998	0.2109	0.2372	0.3169	0.4032	0.4557	0.7296	0.7975	0.1959	0.1616	0.2989	0.149	0.297	0.2248	1.3624	0.8122	0.0787	0.0942	0.4541	0.3125	0.1896	0.2124	0.8723	0.2825	0.2437	0.35	0.3787	0.4415	0.1279	0.1358	0.4496	0.2975	0.3479	0.3182	0.3285	0.3019	0.2534	0.5479	0.3304	0.3389	0.2409	0.1953	0.5884	0.4581	0.23399999999999999	0.1641	0.2087	0.2821	0.7334	0.6619	0.6271	0.4826	0.0668	0.083	0.1533	0.1944	0.1368	0.179	0.2357	0.1155	0.6173	0.5218	0.18600000000000003	0.1381	0.3247	0.5920000000000001	0.332	0.1592	0.41100000000000003	0.465	0.2551	0.7619	0.1568	0.2268	0.3287	0.2889	0.2973	0.2261	0.2317	0.2563	0.4127	0.1737	0.3747	0.3601	0.2469	0.2969	0.2921	0.1887	0.2386	0.2444	0.2242	0.1593	0.2723	0.256	0.2651	0.2039	0.2217	0.1549	0.1297	0.2327	1.1435	0.4054	0.1426	0.2078	0.4281	0.1961	0.6439	0.341	0.2486	0.2112	0.1427	0.2224
TAG56:1FA18:1	0.6813	0.242	0.8197	0.4307	0.4799	0.1237	0.1423	0.1162	0.2365	0.1165	0.1415	0.1635	0.1551	0.2406	0.3131	0.2334	0.0855	0.1189	0.1154	0.1476	0.3007	0.3474	1.0244	0.596	0.1655	0.0706	0.5146	0.3219	0.2866	0.4198	0.3957	0.7119	0.6245	0.1137	0.5607	0.6043	0.1847	0.1271	0.8429	0.9324	0.1061	0.1754	0.6133	0.2517	0.1165	0.1961	0.4519	0.2242	0.1666	0.3037	0.1493	0.3276	0.2615	2.0816	0.2551	0.2039	0.1323	0.5567	0.3272	0.2006	0.2652	0.1319	0.0928	0.0852	0.5195	2.6143	0.5381	2.4427	0.1144	0.1397	0.1434	0.1127	0.1292	0.1449	0.1574	0.0985	3.1065	1.0139	0.2032	0.1569	0.2843	0.3204	0.1715	0.14	0.16	0.34299999999999997	0.3558	2.9602	0.1715	0.2343	0.4522	0.2233	0.2186	0.1795	0.2173	0.4606	0.1285	0.0774	0.2179	0.3037	0.14300000000000002	0.1285	0.1811	0.1167	0.0921	0.129	1.6857	0.1136	1.8558	0.1376	0.3442	0.2654	0.2857	0.1096	0.0877	0.05	0.5857	0.1535	0.1501	0.1747	0.2722	0.1098	0.3463	0.8363	0.3018	0.1056	0.0819	0.2651
TAG46:2FA14:1	0.4485	0.1655	1.4401	0.1616	0.2884	0.4739	0.1139	0.2668	0.3505	0.0828	0.2008	1.1816	0.0218	0.1345	0.4677	0.555	0.1427	0.0845	0.17300000000000001	0.0635	0.6501	0.5486	0.3984	0.1017	0.1351	0.0465	0.2877	0.0855	0.3658	0.4058	0.5049	0.8276	0.0918	0.28800000000000003	0.4496	0.282	1.7715	0.2466	1.9038	1.0237	0.4054	0.5115	1.2635	0.4648	0.0648	0.1624	0.6451	0.3704	0.8086	1.1013	0.1786	0.9079	0.7072	1.1422	0.5145	0.3599	0.2364	1.9088	0.3288	0.6118	0.9036	0.6133	0.0385	0.0407	0.674	0.0494	1.4125	2.4541	0.1378	0.2481	0.1302	0.1476	0.1475	0.6333	0.2911	0.3526	0.8287	2.3152	0.2333	0.1027	0.4511	0.7969	0.08199999999999999	0.0359	0.4422	0.3079	0.0831	0.6248	0.3908	1.1291	0.4932	0.5142	0.515	0.5219	0.4625	0.1842	0.3065	0.1088	0.1249	0.26	0.1505	0.2156	0.1029	0.1357	0.18600000000000003	0.2324	0.155	0.1014	1.0418	0.3213	0.3515	0.4005	0.0809	0.0339	0.0968	0.0545	1.3105	0.4919	0.9154	0.29600000000000004	0.6369	0.0958	0.3921	0.9667	1.5325	0.1393	0.0763	0.1318
TAG48:3FA18:1	4.8315	2.0607	7.2992	4.0642	11.0606	7.8942	0.7712	1.5834	1.6253	0.6588	1.8743	8.1382	0.5881	10.6187	2.1869	2.2807	1.0968	1.0191	1.6565	0.9518	3.6	3.2313	2.9232	1.6693	1.9417	0.3388	2.9932	1.3507	1.7644	2.6483	5.4681	21.7014	0.7521	2.2945	19.5261	2.8704	9.0577	3.0659	5.8319	6.3184	0.9048	1.2672	5.9053	3.5534	0.4735	1.0866	2.8878	2.9939999999999998	2.095	3.6256	1.0432	2.4219	10.9763	40.3933	1.4787	1.3686	1.6568	5.3846	3.1493	8.5614	5.2552	4.0476	0.3423	0.6026	19.7563	9.7463	5.1387	10.7314	1.0691	1.3708	0.4413	0.4578	0.6915	1.0639	2.1533	1.4788	5.5188	8.2597	3.7969999999999997	0.7992	5.3174	4.684	1.5341	0.4301	3.7627	2.2611	1.1431	4.9910000000000005	1.0646	1.4709	4.1004	3.0785	2.7692	3.4182	2.6716	1.1383	1.5709	0.8	1.1604	3.8993	0.7302	1.0062	1.0014	1.0104	1.2145	1.3092	2.8681	1.9121	19.3867	6.1819	3.1161	3.258	1.9417	0.3433	1.0303	0.3652	6.2878	2.2718	2.6803	3.1174	5.263999999999999	1.4111	2.3825	3.2346	2.2829	0.4495	0.825	1.6059999999999999
TAG56:5FA20:1	0.528	0.33799999999999997	0.9074	0.9098	0.8543	0.4784	0.4823	0.5314	0.2107	0.2407	0.2816	0.3663	0.6394	0.3854	0.2777	0.3009	0.4087	0.3389	0.5733	0.7088	0.54	0.5588	0.6628	0.7876	0.226	0.2347	0.7481	0.3943	0.2551	0.2138	1.3752	0.857	0.5077	0.4453	1.0042	0.618	0.4607	1.1262	1.0270000000000001	0.478	0.256	0.2079	0.5039	0.5813	0.1598	0.2189	0.2755	0.2123	0.2172	0.1333	0.2595	0.3193	0.3031	0.6835	0.2082	0.225	0.2396	0.0954	1.0498	0.3709	0.2825	0.1963	0.2406	0.3242	0.8232	1.1928	0.2945	0.6771	0.1995	0.1908	0.1055	0.0918	0.1665	0.1432	0.4576	0.1398	1.0575	0.8473	0.3628	0.2923	0.4053	0.6451	0.1709	0.2644	0.3231	0.4158	0.2448	0.6411	0.1899	0.4356	0.6046	0.313	0.2396	0.3234	0.1614	0.3947	0.6478	0.28600000000000003	0.3901	0.4709	0.1591	0.172	0.4011	0.3047	0.2528	0.2872	0.5481	0.4544	0.537	0.2181	0.8594	0.2925	0.5339	0.3588	0.2819	0.2894	0.6822	0.361	0.1708	0.2454	0.2497	0.1984	0.4768	0.8209	0.1826	0.09300000000000001	0.2284	0.42200000000000004
TAG46:1FA14:1	2.2876	1.6631	2.917	0.773	0.9349	0.9623	0.8596	0.6458	0.8255	0.4612	0.8091	1.7308	0.4791	0.6523	0.8692	0.8519	0.7328	0.8307	0.7901	0.8147	1.5995	1.4975	1.1992	1.3197	0.4483	0.4831	1.3557	1.1625	0.7931	1.0914	0.8037	0.8674	0.414	0.397	0.6563	0.868	1.9956	0.8711	3.2754	3.1027	0.7046	1.0597	1.8634	0.8683	0.604	0.5569	1.6207	0.9542	1.1655	1.547	1.1967	1.9269999999999998	1.1193	1.3708	1.0206	1.6041	1.2543	2.8113	0.715	1.264	1.3235	1.0733	0.5302	0.8687	1.3352	1.0490000000000002	2.274	3.2452	0.9344	0.9624	0.6039	0.6367	0.5244	0.9775	0.9145	1.2731	2.2965	2.2743	0.5635	0.5771	1.1384	1.4169999999999998	0.5654	0.3746	1.09	0.8123	1.6492	2.9343	0.8874	1.8389	0.9025	1.15	0.8828	1.2959	0.871	0.9111	1.1638	0.9615	1.4609999999999999	1.5462	1.0619	1.0012	0.8919	0.8603	0.9932	1.1387	0.5288	0.3418	1.7498	1.2236	0.6591	0.551	1.5537	0.7484	0.5987	0.5015	2.5783	0.8756	1.2288	0.7855	1.5498	0.7439	0.8521	2.3249	2.0512	0.9033	0.6159	1.0759
TAG56:4FA20:1	1.3301	0.5914	2.3348	1.8217	1.3730000000000002	0.9248	1.3419	1.4199	0.4823	0.5509	0.7165	0.9538	1.2067	0.8975	0.9955	0.8933	0.794	0.7146	1.1856	1.3088	0.9256	1.2453	2.1174	2.1857	0.6459	0.607	1.5878	0.8097	0.8018	0.6321	2.7398	2.293	1.6005	1.1481	1.8393	1.1433	1.016	2.4974	2.6027	1.2712	0.4786	0.517	1.6143	1.6658	0.4481	0.593	0.757	0.5905	0.5574	0.3703	0.7406	0.8637	0.7653	1.9734	0.6477	0.674	0.5725	0.3293	1.7299	0.8583	0.6858	0.4219	0.4462	0.5882	1.7498	4.4573	0.9137	2.4659999999999997	0.4045	0.3935	0.2224	0.2153	0.4366	0.392	0.9674	0.2934	2.8626	1.6128	0.9776	0.5461	1.1401	1.6982	0.457	0.6264	0.6787	0.9490000000000001	0.7127	2.3709	0.583	0.9038	1.32	0.7258	0.4595	0.6414	0.4062	1.067	1.7176	0.7907	0.9389	1.1573	0.39799999999999996	0.4358	0.8074	0.5196	0.6675	0.5357	2.5361	0.7440000000000001	1.7657	0.6134	1.5084	0.8009999999999999	0.9084	0.5533	0.6322	0.6427	1.5673	0.8573	0.5384	0.851	0.6662	0.4688	1.1577	1.5407	0.575	0.3211	0.6702	1.125
TAG48:4FA18:3	1.1613	0.4818	1.4911	0.7422	1.8207	1.4838	0.1624	0.3234	0.5587	0.1419	0.4115	1.7998	0.0801	1.3826	0.3715	0.4751	0.2055	0.1758	0.4391	0.1941	1.0467	0.7754	0.6462	0.3073	0.2598	0.0424	0.6849	0.2268	0.3202	0.4497	1.0407	2.2812	0.0813	0.33399999999999996	3.0873	0.6229	1.7779	0.5424	1.8659	1.3801	0.4422	0.3951	1.2902	0.6615	0.1087	0.1886	0.515	0.3994	0.6049	0.7972	0.1633	0.5917	1.4981	4.8252	0.4083	0.3805	0.539	1.3744	0.6689	1.7779	0.951	0.9106	0.0853	0.1108	3.6007	1.3345	0.961	1.6753	0.2915	0.4174	0.1835	0.1879	0.1842	0.3232	0.4569	0.4806	1.0412	3.1273	0.5936	0.1917	0.9225	1.0212	0.1404	0.0641	0.9823	0.4165	0.128	0.6175	0.2039	0.5043	0.8412	0.4949	0.7455	0.6536	0.6329	0.2912	0.318	0.1407	0.1951	0.5745	0.1523	0.2429	0.2212	0.21600000000000003	0.2964	0.306	0.4194	0.3588	1.7832	0.7311	0.8136	0.6608	0.4106	0.0982	0.1884	0.0725	1.4675	0.4493	0.6584	0.2876	0.8863	0.2511	0.5449	1.2891	0.75	0.1079	0.1718	0.2422
