	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
dummyID	0.0	1.0	1.0	2.0	2.0	4.0	4.0	6.0	6.0	7.0	8.0	8.0	9.0	9.0	11.0	11.0	14.0	14.0	15.0	16.0	16.0	17.0	17.0	18.0	18.0	20.0	21.0	26.0	26.0	27.0	27.0	30.0	30.0	32.0	32.0	34.0	34.0	35.0	35.0	36.0	38.0	40.0	41.0	41.0	42.0	49.0	49.0	51.0	51.0	52.0	52.0	56.0	56.0	58.0	61.0	61.0	62.0	62.0	63.0
sex	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
age	75.0	70.0	71.0	69.0	69.0	64.0	64.0	78.0	79.0	62.0	67.0	68.0	64.0	65.0	66.0	67.0	73.0	74.0	64.0	67.0	69.0	39.0	39.0	76.0	77.0	68.0	67.0	71.0	72.0	62.0	63.0	70.0	70.0	67.0	68.0	40.0	40.0	61.0	62.0	65.0	75.0	68.0	64.0	65.0	67.0	80.0	81.0	61.0	61.0	61.0	62.0	42.0	43.0	62.0	59.0	60.0	62.0	62.0	52.0
DAS28	1.63195	2.58632	1.49195	1.78595	2.03795	1.70967	2.23112	2.07995	1.60395	2.3646	2.03498	2.02237	1.61795	1.57595	1.56195	1.47795	1.98407	2.34396	2.48581	1.51995	1.50595	1.56195	2.31795	2.51825	2.44603	2.30538	2.17795	1.77195	2.06595	2.04747	2.24335	1.44995	1.47795	2.3806	1.60057	1.84195	1.81395	1.56195	1.63195	2.35995	1.57595	1.44995	1.71595	1.58995	1.89795	2.33385	1.56195	1.47795	1.77195	1.95338	2.0925	1.5010700000000001	1.2070299999999998	2.12837	2.58067	1.56195	1.67395	2.4544799999999998	2.1291
LPE[FA20:1]	0.0286	0.0607	0.0249	0.031	0.0255	0.0239	0.0233	0.0246	0.0183	0.0269	0.0246	0.0284	0.027000000000000003	0.0238	0.0432	0.0294	0.0347	0.0391	0.0641	0.0562	0.0328	0.0315	0.0362	0.0251	0.034	0.0218	0.0237	0.033	0.0308	0.0413	0.0378	0.0505	0.0293	0.027000000000000003	0.0303	0.023	0.0217	0.0327	0.0166	0.0275	0.0325	0.0409	0.0139	0.035	0.0142	0.036000000000000004	0.0256	0.0213	0.0199	0.019	0.0173	0.0326	0.0362	0.0346	0.0234	0.032	0.0497	0.0194	0.0368
HCER[FA18:0]	0.0215	0.0872	0.0564	0.1185	0.1109	0.0825	0.0849	0.0609	0.044	0.0809	0.0683	0.0591	0.0547	0.0634	0.0695	0.0562	0.0574	0.0599	0.0391	0.0639	0.0703	0.0762	0.0846	0.0722	0.0685	0.0452	0.1267	0.1029	0.0855	0.0437	0.0601	0.1352	0.1275	0.0789	0.0726	0.0667	0.0647	0.104	0.1029	0.0634	0.1162	0.0722	0.1378	0.0774	0.0536	0.0454	0.0575	0.0341	0.032	0.0912	0.0943	0.0776	0.0746	0.0495	0.0698	0.0446	0.0772	0.0571	0.0691
PC[FA14:0]	10.0751	17.4053	13.0032	19.6065	20.5036	22.0472	13.1712	7.4147	14.2132	15.8557	9.904	9.2974	12.058	9.8568	18.1983	10.0035	15.5705	19.3341	31.3261	16.6691	20.052	17.8379	16.3682	31.9088	19.6318	22.8052	17.9878	15.1303	18.5422	21.1522	21.1819	26.6682	31.4657	13.2537	5.2813	12.5296	12.105	27.2838	23.2568	18.4151	31.8673	17.212	16.5892	12.8975	19.8661	8.017999999999999	8.4274	7.1473	8.3579	12.987	17.8236	15.748	12.8017	22.5988	17.8406	23.5903	29.7771	13.2571	10.5431
SM[FA22:1]	19.3451	41.4251	25.8409	33.748000000000005	35.5378	32.4746	36.7557	18.6876	24.266	31.423	22.2765	22.8181	28.1137	29.7899	43.4675	41.1199	39.7337	39.8682	27.4796	44.0438	46.7002	32.5805	34.5564	31.2522	37.7702	32.3189	45.1716	29.0015	30.7632	31.7856	36.5614	40.9908	39.1512	31.8368	30.3318	29.6256	29.9434	50.0287	44.3121	32.3756	45.5501	34.5507	52.7166	50.8566	40.9393	24.2417	25.4228	24.3888	25.5256	32.7965	32.3529	35.7939	31.2553	30.4882	32.7535	35.8891	42.3702	36.1974	24.887
TAG[FA16:1]	113.2002	256.99	177.8829	126.2554	173.2984	72.6825	77.6491	34.5925	76.3405	148.1548	101.838	65.2986	137.7778	109.0501	280.3238	201.7738	98.0685	80.8204	146.9171	66.3727	142.5814	208.4857	127.53	251.9702	233.5944	223.9469	341.7155	223.7759	346.9795	194.9603	183.8715	133.6588	94.312	125.2727	75.1435	48.3337	76.4141	29.0395	33.5301	71.7309	316.2235	330.1357	57.4089	31.3782	105.6714	103.189	113.1472	72.0247	45.6387	124.7079	118.1015	38.545	31.1381	311.9032	190.6749	205.485	176.8563	55.1102	93.6945
TAG[FA18:1]	1120.167	2287.073	1469.04	1128.882	983.8244	622.5642	613.9346	517.3091	1016.664	1219.188	744.9042	633.7039	988.3395	833.4175	2523.264	2004.28	878.6659	762.2312	1724.737	625.133	912.7061	1699.761	1498.544	1437.715	1494.658	1171.41	2235.096	1333.833	3376.544000000001	1284.081	1311.417	988.7225	616.8231	1560.115	1784.719	419.7623	533.4899	273.5062	309.7445	528.1724	2004.984	1967.111	593.7677	441.3247	988.1246	926.0781	1113.527	682.7697	430.6557	927.5298	919.4183	598.3793	377.4503	2055.7	1366.638	1593.516	1030.253	440.646	1020.374
