	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
dummyID	0.0	1.0	1.0	2.0	2.0	4.0	4.0	6.0	6.0	7.0	8.0	8.0	9.0	9.0	11.0	11.0	14.0	14.0	15.0	16.0	16.0	17.0	17.0	18.0	18.0	20.0	21.0	26.0	26.0	27.0	27.0	30.0	30.0	32.0	32.0	34.0	34.0	35.0	35.0	36.0	38.0	40.0	41.0	41.0	42.0	49.0	49.0	51.0	51.0	52.0	52.0	56.0	56.0	58.0	61.0	61.0	62.0	62.0	63.0
sex	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
age	75.0	70.0	71.0	69.0	69.0	64.0	64.0	78.0	79.0	62.0	67.0	68.0	64.0	65.0	66.0	67.0	73.0	74.0	64.0	67.0	69.0	39.0	39.0	76.0	77.0	68.0	67.0	71.0	72.0	62.0	63.0	70.0	70.0	67.0	68.0	40.0	40.0	61.0	62.0	65.0	75.0	68.0	64.0	65.0	67.0	80.0	81.0	61.0	61.0	61.0	62.0	42.0	43.0	62.0	59.0	60.0	62.0	62.0	52.0
DAS28	1.63195	2.58632	1.49195	1.78595	2.03795	1.70967	2.23112	2.07995	1.60395	2.3646	2.03498	2.02237	1.61795	1.57595	1.56195	1.47795	1.98407	2.34396	2.48581	1.51995	1.50595	1.56195	2.31795	2.51825	2.44603	2.30538	2.17795	1.77195	2.06595	2.04747	2.24335	1.44995	1.47795	2.3806	1.60057	1.84195	1.81395	1.56195	1.63195	2.35995	1.57595	1.44995	1.71595	1.58995	1.89795	2.33385	1.56195	1.47795	1.77195	1.95338	2.0925	1.5010700000000001	1.2070299999999998	2.12837	2.58067	1.56195	1.67395	2.4544799999999998	2.1291
HCER	1.1252	3.2147	1.9561	2.6991	2.8538	2.682	3.1696	2.2283	1.8483	3.3794	2.5382	2.3932	2.253	2.7389	2.2692	2.2825	2.3212	2.5548	1.5819	2.6143	2.672	2.6575	2.9342	2.9997	3.2131	2.5994	4.7533	3.3008	2.7843	2.392	2.8577	4.3422	4.0213	4.0203	3.9152	2.0646	2.0498	4.1191	4.1491	2.6808	4.467	1.6980000000000002	4.9682	3.7556	1.6727	1.5602	1.6787	1.2443	1.4365	4.3479	4.8551	2.6562	2.4406	2.4036	1.788	1.6765	2.2691	1.8793	3.3264
PE	137.14	208.2709	163.1857	139.3808	135.5369	147.0377	179.9922	125.1495	130.7243	141.8615	105.2148	99.9712	120.3905	120.482	169.3323	183.6931	225.6057	220.9336	238.3456	137.4967	119.8268	142.0458	169.7518	161.7066	188.2368	152.8879	168.1545	117.9303	161.5378	160.0938	193.6426	205.9221	191.7014	141.4593	138.6522	107.7117	118.8596	174.0221	160.6639	157.8429	216.8925	214.6117	169.5186	154.8149	197.1023	130.2151	133.7713	97.0127	118.7458	118.5024	169.7909	139.9909	165.2349	220.3145	168.1815	218.3332	171.8092	126.3884	133.7016
PC	1174.712	2042.42	1327.713	1731.985	1725.1660000000004	1641.436	1763.769	1061.3339999999996	1376.875	1670.305	1172.37	1152.576	1412.8870000000004	1711.3239999999996	2177.836	2034.801	1762.915	1646.076	1525.9620000000002	1810.749	1851.773	2026.062	1919.516	2161.969	2000.227	1976.198	2154.041	1431.785	1810.837	1826.914	2043.592	2135.702	1959.541	1515.444	1193.923	1298.312	1414.8670000000004	2145.515	1713.97	1842.347	2245.0660000000007	1792.1129999999996	1825.37	1634.583	1641.563	1265.052	1278.539	1070.526	1041.719	1537.362	1544.981	1771.54	1553.694	2108.187	1827.816	2044.946	2028.261	1586.701	1225.026
DCER	0.7588	1.3381	1.042	0.9962	0.7556	0.9047	0.9445	0.9274	0.7338	1.0989	0.9474	0.825	0.9647	0.9091	1.0934	0.9772	1.0876	1.5573	1.1079	1.0407	0.9797	1.2527	1.0348	1.1517	1.1049	1.152	1.0633	0.9504	1.5993	0.8824	1.0783	0.959	0.8637	1.0404	0.9619	0.7708	0.8097	1.0588	0.959	1.02	1.6196	0.9841	1.0682	1.1087	1.2017	0.8853	0.7245	0.7634	0.8885	1.01	1.1269	0.7907	0.9571	1.3281	1.1288	1.0667	1.1759	1.1292	1.1015
DAG	32.7036	61.5272	37.2377	26.8168	28.2703	19.5675	22.9845	14.8368	29.3314	23.7245	15.6987	14.5226	25.0107	20.8967	53.4454	41.9308	21.6047	16.9745	39.8743	16.0663	23.1451	45.2083	46.7383	36.1508	32.146	35.2373	66.5231	43.6895	87.5585	37.4222	35.3917	23.9344	20.5833	44.091	29.3434	11.4072	14.5382	9.3187	8.3351	12.7766	51.026	49.2145	17.0724	9.9729	24.8852	23.6259	28.0047	16.5052	12.3478	26.7475	27.5092	11.7433	11.3586	63.2601	42.3438	58.0465	33.0346	12.4935	23.4465
LCER	1.9873	5.5833	4.1504	4.3891	5.657	4.499	5.2903	4.2408	4.6236	4.8579	3.8164	3.7623	4.0078	4.2979	3.6946	3.7489	4.9401	5.3817	2.8677	6.8374	6.2435	4.8885	6.2243	4.5185	4.994	5.799	5.4775	5.249	5.2988	2.8711	3.6611	6.9482	5.5855	7.4096	5.8393	5.5087	4.356	7.0625	6.8844	4.6502	6.4254	3.3641	6.9391	6.2937	4.7957	3.8799	3.1912	3.7005	3.3148	7.5056	8.9207	5.9501	6.0371	3.4497	3.5748	3.3206	5.8003	6.3476	5.9258
