chemID	l_mean	m_mean	h_mean	monotonic_status	pval	endpoint_log2fc
HCER	2.6864013157894737	2.7269439024390243	2.0333272727272726	dynamic	0.5131	0.401832400200764
PE	156.31087763157893	159.5933	143.62335454545453	dynamic	0.3705	0.12212781419464959
PC	1648.5737894736842	1705.7513658536586	1556.17	stable	0.6535	0.08321879024263891
DCER	1.0150355263157895	1.0472341463414634	0.9052727272727272	dynamic	0.3058	0.1651058259567519
DAG	29.975173684210525	28.90929756097561	31.96271818181818	stable	0.1651	0.09262199050471838
LCER	4.965232894736842	5.025687804878049	3.8947	dynamic	0.4567	0.3503491840878231
PI	43.590775	43.89535853658536	37.37097272727273	dynamic	0.3952	0.22210473753416632
SM	458.27206710526315	466.7189731707317	415.3663909090909	dynamic	0.2811	0.14181986610256941
CER	3.8698434210526313	4.0169	3.7766545454545453	stable	0.5484	0.035166369227135105
CE	2689.555855263158	2687.6006341463417	2467.260909090909	dynamic	0.2618	0.12445766384764864
LPC	126.70191578947369	120.92816585365854	125.18298181818182	stable	0.5807	0.01739989250261149
LPE	4.166109210526316	4.1924	4.230918181818182	stable	0.3823	0.022270128163032525
MAG	2.555621052631579	2.647612195121951	2.3391	dynamic	0.3716	0.12772038902629626
TAG	1086.6346447368421	1019.5054902439024	1163.7303909090908	stable	0.1607	0.09888990856468666
FFA	1560.3130263157896	1696.079487804878	1398.1087272727273	dynamic	0.4651	0.1583589284867409
