chemID	l_mean	m_mean	h_mean	monotonic_status	pval	endpoint_log2fc
100021136	1.1012315789473683	1.0952121951219513	1.2533545454545454	stable	0.8668	0.1866766915584448
100000882	1.1313776315789474	1.168229268292683	0.9604727272727273	stable	0.7522	0.23626399880855856
409	1.0499973684210526	1.0939121951219513	1.0985636363636364	stable	0.9803	0.06523273089407611
100002254	1.933778947368421	2.262451219512195	3.885790909090909	dynamic	0.5797	1.006785384881951
361	1.5989197368421053	1.8877073170731706	1.0996	dynamic	0.5622	0.5401187077389324
100019975	1.31885	1.2059926829268293	0.9904454545454545	stable	0.4328	0.4131310575137315
100000257	1.2428118421052632	1.1490829268292684	1.1247363636363636	stable	0.6413	0.14402101761440414
100001232	1.2362	1.4259048780487804	1.169809090909091	stable	0.5104	0.07963906434077529
100001948	1.0149131578947368	0.9772	1.0414636363636363	stable	0.9461	0.03725618028517717
100001073	1.3559934210526317	1.0804024390243903	0.9635272727272728	dynamic	0.5523	0.49295277106268653
100015637	1.0775960526315789	1.2155585365853658	0.9915181818181819	stable	0.8213	0.12010533813458492
100006360	3.136644736842105	3.394360975609756	1.7373181818181818	dynamic	0.5843	0.8523601344833845
1488	1.035071052631579	1.085609756097561	1.0923272727272728	stable	0.8783	0.0776753624405362
100002253	1.4636815789473685	1.5465975609756097	1.1649	dynamic	0.5343	0.32939561920364413
1023	1.0236092105263157	0.9547048780487805	0.9068818181818181	stable	0.9984	0.1746785731433632
100004284	4.903201315789474	12.209919512195121	0.9965909090909091	down	0.3259	2.2986506781366582
100001251	1.3302671052631578	1.189019512195122	1.2324636363636363	stable	0.5347	0.11017087380805678
362	1.1311763157894736	1.3346341463414635	1.0149545454545454	dynamic	0.4655	0.15640870085013675
100006620	1.2496065789473685	1.1636317073170732	1.2595636363636364	stable	0.6439	0.011450058407285038
111	1.2044644736842105	1.1142975609756098	0.9510454545454545	stable	0.8166	0.3408056407154286
100009045	0.94055	1.220619512195122	1.0703181818181817	dynamic	0.4777	0.18646319645009402
100002927	1.3752776315789474	1.1131634146341463	1.6599	up	0.0457	0.2713734402350344
100015641	1.0687	1.1439487804878048	1.0134454545454545	stable	0.7446	0.07658848145873348
1114	1.174703947368421	1.264539024390244	1.1613272727272728	stable	0.5343	0.016522615740356184
100020409	1.1760513157894736	1.4092536585365854	1.4228181818181818	stable	0.3619	0.2748003033876597
158	1.0587855263157895	1.041258536585366	1.1022545454545454	stable	0.9613	0.05804704799969648
1224	1.0226144736842104	1.0938975609756099	1.2110909090909092	stable	0.9453	0.24404481265323988
100001620	1.0256407894736843	1.0316682926829268	1.0676636363636363	stable	0.9908	0.057931658833418546
100020893	1.0156342105263159	1.061509756097561	1.1364181818181818	stable	0.9893	0.1621129223181615
100002458	1.161478947368421	1.232568292682927	1.6290909090909091	dynamic	0.3423	0.48810410913505353
100001112	1.1541171052631578	1.2809780487804878	1.0528545454545455	stable	0.5945	0.13248347980274028
100002953	1.1390631578947368	1.2125487804878048	1.0554454545454546	stable	0.7685	0.10999572061867209
1141	1.007175	1.0907170731707316	0.9933909090909091	stable	0.8742	0.019880928896748286
100015834	1.1402078947368421	1.2083536585365853	0.8689909090909091	dynamic	0.2037	0.39188390621708225
100004561	1.1260842105263158	1.1926170731707317	1.3611272727272727	stable	0.6898	0.2734872542173737
100020497	1.0131013157894737	0.8701878048780488	1.2826	dynamic	0.485	0.3402928533733836
498	1.0677815789473684	1.0539146341463415	1.133	stable	0.9713	0.08553129577769737
100006051	1.3793328947368422	1.1853829268292684	1.3171727272727274	stable	0.4222	0.06652614010771739
1668	1.5858776315789473	1.8403024390243903	2.052609090909091	stable	0.133	0.37217744450821894
100004523	1.0820447368421053	1.0593926829268292	0.9810636363636364	stable	0.7744	0.14134152370546188
100001604	1.2279578947368421	1.645039024390244	1.3054727272727273	down	0.1165	0.08831122531341527
100001002	1.0138315789473684	1.025070731707317	1.0244636363636364	stable	0.9997	0.015050769397892448
100001987	2.1020381578947367	1.9729536585365854	2.1811818181818183	stable	0.23	0.05332117615006512
100002462	1.138236842105263	1.0505780487804879	0.9457181818181818	stable	0.7626	0.2673185435532562
466	1.3849631578947368	1.229170731707317	0.9501090909090909	dynamic	0.5379	0.5436825215496861
100000665	1.2282342105263158	1.3599682926829268	0.9901181818181818	dynamic	0.4822	0.31091305017455934
445	1.3055302631578947	1.3824243902439024	1.216890909090909	stable	0.4584	0.10143606055471693
2029	1.2524342105263158	1.2724682926829267	1.5407272727272727	stable	0.5239	0.29887668839274034
100006438	2.0761078947368423	1.8112756097560976	1.6219454545454546	stable	0.2032	0.3561561190503556
100001398	1.5212657894736843	1.393751219512195	1.1637272727272727	stable	0.2363	0.3865192443684896
235	1.110611842105263	1.2348756097560976	1.1540454545454546	stable	0.7023	0.05534536460009151
100000997	1.2356394736842105	1.3634707317073171	1.2302090909090908	stable	0.5848	0.006354322870849807
100002094	1.0659618421052632	1.1085560975609756	1.1779	stable	0.7535	0.1440612687732392
1052	0.9965368421052632	1.0267951219512195	1.0075545454545454	stable	0.9345	0.01586289549716715
100020823	1.1542065789473683	1.4528390243902438	1.6377454545454546	dynamic	0.5273	0.5048096850543178
100001806	1.4982263157894737	1.9176975609756097	1.156009090909091	down	0.1804	0.3741028244218017
100006092	1.0834381578947367	1.1737365853658537	2.3906545454545456	dynamic	0.5408	1.1417888652074124
100001415	1.0274236842105262	1.049390243902439	1.1257636363636363	stable	0.9832	0.13187271689341118
100000008	1.091278947368421	1.1429439024390244	0.9410090909090909	stable	0.8947	0.21373935769219105
565	0.9866078947368421	1.0269048780487804	0.9808363636363636	stable	0.9977	0.008464365022265594
100015851	1.0515052631578947	1.1263560975609757	0.9907454545454545	stable	0.6572	0.08586972292877432
100001866	1.0806539473684211	1.0383268292682928	0.9415272727272728	stable	0.9233	0.19882981936300964
100020546	1.419296052631579	1.120380487804878	2.0463454545454547	up	0.0614	0.5278741604833747
100016110	0.957021052631579	0.9737048780487805	0.9743636363636363	stable	0.5355	0.025909630709072127
100001254	1.0208473684210526	1.1006731707317072	1.1244545454545454	stable	0.9421	0.13945816493234758
100006260	1.0660381578947369	1.128380487804878	1.006809090909091	stable	0.6369	0.08246893063690008
826	1.2166105263157894	1.0305780487804879	1.2972727272727274	dynamic	0.488	0.09261441925072897
100001872	1.1309473684210527	1.5022536585365853	1.0634818181818182	down	0.0362	0.08873642284984329
100000263	1.056886842105263	1.1004878048780489	1.2066181818181818	stable	0.8589	0.19114830706394048
100021198	1.0255894736842106	1.1333853658536586	1.1743818181818182	stable	0.7021	0.19544817782026946
100015967	1.361107894736842	1.7426243902439025	1.1423	down	0.2672	0.25283984088617395
278	1.0532197368421052	1.0211463414634145	1.1189545454545455	stable	0.9597	0.08734496968867822
519	1.1748565789473684	1.3181829268292682	1.1599636363636363	stable	0.5131	0.018405070912894853
100009337	1.4781052631578948	1.2587243902439025	1.3973545454545453	stable	0.2071	0.08105089784468503
100002185	0.8962907894736842	1.0998634146341464	1.2768363636363635	stable	0.8488	0.5105348681499682
100001278	1.333646052631579	1.4700121951219511	1.3054000000000001	stable	0.4118	0.030883884125604
100002103	1.0554960526315789	1.019839024390244	1.0756363636363637	stable	0.8862	0.027269250528631234
980	1.1583736842105263	1.2503560975609755	1.0455363636363637	stable	0.6925	0.14785749336902018
100000016	1.0784684210526316	1.110387804878049	0.9627363636363636	stable	0.3649	0.16377124444529512
100020372	1.0642776315789473	1.1769560975609756	1.0398818181818181	stable	0.7117	0.033454970510678264
100001662	1.001517105263158	1.0092634146341464	1.0120272727272728	stable	0.9984	0.015061107523211105
100019972	1.3622394736842105	1.2893829268292682	1.032	dynamic	0.5823	0.4005373721831781
254	2.5199934210526314	1.954590243902439	1.2549272727272727	dynamic	0.6057	1.005816209736078
100002009	3.8453605263157895	2.009290243902439	1.6953090909090909	dynamic	0.5798	1.1815705347678713
100010895	1.0122236842105263	1.0125975609756097	1.1037636363636363	stable	0.9926	0.12490312533075032
1140	1.0524394736842104	1.0553731707317073	0.9129727272727273	stable	0.9572	0.20509359643245617
100008951	0.9559	1.1014731707317074	0.9204	stable	0.509	0.05459871722760794
1084	1.0587263157894737	1.0259146341463414	1.0365545454545455	stable	0.9974	0.0305336603671615
100002796	1.2271986842105262	1.2059707317073172	1.0238636363636364	stable	0.6015	0.2613452588230418
358	1.1543315789473685	1.231019512195122	1.4245636363636365	stable	0.6406	0.3034623752420982
100002070	0.9638394736842105	1.0822853658536586	0.9926090909090909	stable	0.9436	0.0424327804393373
1628	1.585271052631579	1.5934048780487804	1.3558727272727273	stable	0.3048	0.2255077738850498
823	1.0060776315789475	1.0177268292682926	1.1233818181818183	stable	0.9903	0.1591067267908015
100004414	1.2480315789473684	1.2915268292682927	0.9145727272727273	dynamic	0.4932	0.44848463571266345
100006129	11.017834210526317	3.8848658536585368	1.1139636363636363	dynamic	0.5427	3.306066615417137
100002028	1.5089592105263159	1.3513878048780488	1.5463636363636364	stable	0.3288	0.03532580911158888
100021707	1.0400434210526315	1.1632658536585365	1.0418	stable	0.8885	0.0024345811140907303
100000054	1.0352105263157896	0.8405439024390244	1.3837727272727272	up	0.0312	0.41868281997013107
100010869	1.0575973684210527	1.1211682926829267	1.1820818181818182	stable	0.7715	0.1605394034231489
100004575	1.0840736842105263	1.0906146341463414	1.1938727272727274	stable	0.6472	0.13918622674882486
100001212	1.3444947368421052	1.2030658536585366	1.0948818181818183	stable	0.3266	0.296288954283502
818	1.0153302631578947	1.010221951219512	0.9787272727272728	stable	0.9975	0.05297027194121522
100001092	1.3042236842105264	1.2802829268292684	1.6404818181818182	dynamic	0.5216	0.33092828035721245
100020371	1.1630881578947367	1.1529	1.4009090909090909	stable	0.5673	0.26840288605745394
100004112	1.2832157894736842	1.5224731707317074	1.2147181818181818	dynamic	0.5046	0.07914215564893953
1125	0.9966605263157895	1.0508536585365853	1.298990909090909	dynamic	0.3016	0.38221723881390307
100020491	1.0011802631578948	0.9487829268292683	1.1316727272727272	stable	0.3699	0.17675504429465613
100003151	1.045161842105263	1.0324975609756097	1.1749909090909092	stable	0.9612	0.16892323542956375
100000011	1.1520368421052631	1.4124463414634147	1.085090909090909	dynamic	0.5099	0.08637093790827072
100003594	0.9675789473684211	0.9066731707317073	1.040709090909091	stable	0.6701	0.10511556435079814
806	1.03	1.0811341463414634	1.0716181818181818	stable	0.9574	0.05714662685793247
100001211	1.472353947368421	1.4318975609756097	0.9668636363636364	dynamic	0.5766	0.6067401949391933
100002417	1.6239526315789474	1.556690243902439	2.349845454545455	dynamic	0.5301	0.5330563244947207
100009335	1.2591263157894736	1.2362829268292683	1.6554909090909091	dynamic	0.5298	0.39483606663214865
100000781	1.1963697368421053	1.1425243902439024	1.1431181818181817	stable	0.7233	0.06568875689446162
803	1.0973407894736842	1.0755951219512194	1.256709090909091	stable	0.9069	0.19563908858620185
50	1.2471	1.2402829268292683	1.208509090909091	stable	0.6491	0.045348828098348996
796	1.191121052631579	1.171990243902439	1.0051	stable	0.6209	0.24498099452938435
100005834	1.0773776315789474	1.2322487804878048	1.0246454545454546	stable	0.6613	0.07239921942189761
100001580	1.1314842105263159	1.0650048780487804	1.0315363636363637	stable	0.5504	0.13342177254170356
480	1.0093736842105263	1.0632756097560976	1.0588818181818183	stable	0.9991	0.06908119994310326
100001540	1.1310328947368422	1.1529536585365854	1.4937909090909092	dynamic	0.3307	0.4013373344143935
339	1.2910105263157894	1.1457634146341464	1.5784	dynamic	0.417	0.28996209739834966
1110	1.0043328947368422	1.0339536585365854	1.0339909090909092	stable	0.998	0.04198595926843829
100015836	1.0519855263157896	0.8805317073170732	0.8841363636363636	stable	0.7668	0.2507740514204511
