chemID	r_mean	l_mean	m_mean	h_mean	monotonic_status	pval	endpoint_log2fc
HCER	2.8570542372881356	2.419458823529412	2.386929268292683	2.797881818181818	stable	0.9971	0.030193399419907018
PE	158.63866779661018	156.9707294117647	154.43229268292683	149.35464545454545	stable	1.0	0.08700235614446909
PC	1664.1943559322035	1706.720294117647	1620.931731707317	1698.670090909091	stable	1.0	0.02958175405987441
DCER	1.0366813559322035	0.9967235294117647	0.994809756097561	1.0128727272727271	stable	1.0	0.033519618668896786
DAG	29.766493220338983	32.538823529411765	30.65900487804878	22.598363636363636	stable	0.9366	0.39747095836744445
LCER	5.1374881355932205	4.573858823529412	4.521709756097561	5.4541	stable	0.9993	0.08627799499630769
PI	43.665494915254236	42.90552352941177	41.68240243902439	46.27751818181818	stable	1.0	0.08381780406332343
SM	471.1406779661017	448.36316470588235	441.22015609756096	456.69864545454544	stable	1.0	0.04491538793233954
CER	4.016327118644067	3.9973	3.747163414634146	3.7993727272727273	stable	0.9998	0.08011552688832507
CE	2705.457525423729	2640.0529411764705	2609.3813902439024	2750.019090909091	stable	1.0	0.02356904222985996
LPC	121.4992406779661	120.19384117647058	131.62778292682927	123.26578181818182	stable	1.0	0.0208250702587128
LPE	4.107362711864407	4.128735294117647	4.443714634146342	3.6670545454545453	stable	0.9988	0.16359062854391757
MAG	2.616477966101695	2.357929411764706	2.5641365853658535	2.6293454545454544	stable	1.0	0.007077592022941482
TAG	1051.520866101695	1189.8746294117648	1116.1563024390243	832.2712909090909	stable	0.9288	0.3373517012795749
FFA	1622.348779661017	1599.8862941176471	1490.7366829268292	1769.5814545454546	stable	0.9999	0.125324161312874
